,prop_type,price,beds,baths,sqft,rank,source,city
115,condo,1325,4,2,,10,unit_rental,New York
116,condo,1325,3,1,,11,unit_rental,New York
117,condo,1325,6,2,,12,unit_rental,New York
118,condo,1325,4,1,120.0,13,unit_rental,New York
119,condo,1325,6,2,,14,unit_rental,New York
120,condo,1325,6,2,,15,unit_rental,New York
121,condo,1325,5,2,,16,unit_rental,New York
122,condo,1325,6,2,,17,unit_rental,New York
123,condo,1325,3,1,,18,unit_rental,New York
124,condo,1325,6,2,,19,unit_rental,New York
125,condo,1325,6,2,,20,unit_rental,New York
126,single_family,1350,1,1,650.0,23,unit_rental,New York
127,condo,1350,3,1,,24,unit_rental,New York
128,condo,1350,3,1,,25,unit_rental,New York
129,condo,1350,3,2,113.0,26,unit_rental,New York
130,condo,1350,3,1,,27,unit_rental,New York
131,condo,1350,4,2,,28,unit_rental,New York
132,apartment,1350,1,1,850.0,29,unit_rental,Bronx
133,condo,1350,3,1,,30,unit_rental,New York
134,apartment,1350,2,1,,31,community,New York
135,condo,1350,3,1,,32,unit_rental,New York
136,single_family,1360,3,1,,33,unit_rental,New York
137,single_family,1360,4,2,,34,unit_rental,New York
138,condo,1375,2,1,,35,unit_rental,New York
139,condo,1375,4,1,,36,unit_rental,New York
140,condo,1375,4,2,107.0,37,unit_rental,New York
141,condo,1375,4,1,132.0,38,unit_rental,New York
142,single_family,1375,1,1,1936.0,39,mls,Staten Island
143,condo,1375,5,2,,40,unit_rental,New York
144,condo,1375,4,1,,41,unit_rental,New York
145,condo,1375,3,1,102.0,42,unit_rental,New York
146,condo,1375,4,2,,43,unit_rental,New York
147,condo,1375,4,2,135.0,1,unit_rental,New York
148,condo,1375,4,2,,2,unit_rental,New York
149,condo,1375,3,1,,3,unit_rental,New York
150,condo,1380,5,3,,4,unit_rental,New York
151,condo,1380,5,3,100.0,5,unit_rental,New York
152,single_family,1395,1,1,650.0,6,unit_rental,New York
153,single_family,1395,1,1,,8,unit_rental,Brooklyn
154,condo,1400,2,1,153.0,9,unit_rental,New York
155,condo,1400,6,2,,10,unit_rental,New York
156,condo,1400,4,2,120.0,11,unit_rental,New York
157,apartment,1400,1,1,650.0,12,unit_rental,New York
158,apartment,1400,1,1,889.0,14,unit_rental,Brooklyn
159,condo,1400,4,2,,15,unit_rental,New York
160,condo,1400,2,1,208.0,16,unit_rental,New York
161,condo,1400,6,2,,17,unit_rental,New York
162,single_family,1400,1,1,,18,mls,Brooklyn
163,apartment,1400,1,1,680.0,20,unit_rental,Bronx
164,apartment,1400,1,1,,21,unit_rental,Queens
165,single_family,1400,4,2,,22,unit_rental,New York
166,condo,1400,5,2,,24,unit_rental,New York
167,condo,1400,4,2,123.0,25,unit_rental,New York
168,condo,1400,4,2,,26,unit_rental,New York
169,condo,1400,4,2,,27,unit_rental,New York
170,condo,1400,4,2,112.0,28,unit_rental,New York
